advertiser_id,advertiser_name,total_spend_usd,total_creatives,maximum_impressions,total_day
AR00326986374324420609,JOHN EAVES FOR GEORGIA,1100,1,2000,32
AR00329238174138105857,COLORADANS FOR RESPONSIBLE ENERGY DEVELOPMENT,2100,3,72000,28
AR00334269539346808833,Kurt Winstead for Congress,9300,6,395000,326
AR00337697816602214401,DAVITA INC. AND AGGREGATED CONTRIBUTIONS,10600,12,553000,308
AR00339517508346183681,Peterson for Congress,6400,24,58000,375
AR00340999924898332673,DSCC,17345800,1599,522149000,52296
AR00341904548090085377,FRIENDS OF ANDREW LEWIS,3600,4,86000,112
AR00343739632996843521,DOUG WARDLOW FOR ATTORNEY GENERAL,27400,20,517000,204
AR00345000772833902593,RALEIGH BOWMAN FOR CONGRESS,3700,9,23000,277
AR00345503524525703169,DAVIDSON FOR CONGRESS,16800,10,1149000,120
AR00347252572647587841,FRIENDS OF JUDGE JOHN KUCHNO,300,2,5000,63
AR00349869685199601665,STINE FOR SENATE,22100,23,874000,367
AR00350911747344826369,AMERICA FIRST POLICIES INC.,6700,4,693000,59
AR00351756172274958337,TAX FOUNDATION,13900,36,669000,230
AR00355499184733814785,RPAC of Virginia,22800,1,1000000,29
AR00360763371529699329,ELECT MAE FLEXER,2700,5,89000,39
AR00365266971157069825,"JOHN JAMES FOR SENATE, INC.",658600,468,26219000,7424
AR00366257631133696001,JOHN TRENT,35900,9,12808000,68
AR00369770570784440321,"WISCONSIN FREEDOM ALLIANCE, INC.",4600,6,28000,72
AR00370761230761066497,RADINOVICH FOR CONGRESS,7900,40,326000,606
AR00374274170411810817,WE ARE GREAT AGAIN PAC,5100,3,650000,42
AR00376735976946401281,SCHOOL FREEDOM FUND,15200,4,883000,65
AR00377028721917296641,CAMPAIGN TO ELECT CARL DOMINO,4900,6,35000,792
AR00377933345109049345,"IMM, LLC",7800,392,507000,5087
AR00381029569852866561,OUTSIDER CLUB LLC,15400,106,15832000,4493
AR00383281369666551809,BLUMENAUER FOR CONGRESS,17100,13,1329000,156
AR00387784969293922305,JUST THE FACTS PAC,6600,1,45000,5
AR00391127484642361345,Arizonans for Matt Gress,400,4,10000,62
AR00395947743618531329,CAM CAVASSO 4 CONGRESS,3000,13,551000,101
AR00396792168548663297,SEMINOLE COUNTY DEMOCRATIC EXECUTIVE COMMITTEE,7900,10,213000,237
AR00399043968362348545,DEHART FOR CONGRESS INC,2300,3,3000,11
AR00401295768176033793,CHAZ BEASLEY FOR NC,4600,20,375000,231
AR00402286428152659969,NATANEL SHIMON BRAUNSTEIN,4700,1,250000,26
AR00403009357047922689,A BETTER WISCONSIN TOGETHER INSTITUTE INC,100,1,1000,3
AR00404287539315212289,BLAKEMORE FOR ELECTION REFORM,17200,2,1260000,20
AR00405739169541783553,"BOOKER FOR THE PEOPLE, LTD",127100,27,3195000,246
AR00405799367803404289,JAMES WALKINSHAW FOR BRADDOCK SUPERVISOR,6600,2,30000,32
AR00413962142128013313,DITCH FUND,595700,25,3375000,1670
AR00414052302081490945,Ascension Marketing Group Inc,7000,51,1014000,641
AR00414806567058145281,BIG NUDGE PAC,5100,9,248000,31
AR00419310166685515777,VOTERS FOR TRUTH PC,0,1,1000,1
AR00423813766312886273,DEPALO COMMITTEE,3900,14,23000,55
AR00432820965567627265,CHANGE CONGRESS NOW/CAMBIO AL CONGRESO YA,6200,9,57000,43
AR00435072765381312513,Darien Republican Town Committee,4400,5,86000,15
AR00440079116700483585,RAY WARD COMMITTEE TO ELECT,2100,11,970000,392
AR00441828164822368257,FRIENDS OF NICOLE MILLER,1400,1,90000,9
AR00446331764449738753,PFAFF FOR STATE SENATE,70800,126,1682000,1694
AR00446859530031071233,Hoopes 2022,0,7,7000,34
AR00449990939146977281,DETTELBACH FOR OHIO,4600,5,44000,78
AR00450835364077109249,METRO SW COMMUNITY FIRST PAC,6400,5,280000,130
AR00455338963704479745,"RETIREES FIRST, INC.",3000,2,23000,16
AR00461471214930493441,YES ON AMENDMENT B,74600,18,4692000,240
AR00464346162959220737,COLORADO WORKING FAMILIES PARTY INDEPENDENT EXPENDITURE COMMITTEE,300,2,7000,14
AR00468005337656459265,TRADE WORKS FOR AMERICA,494200,86,29047000,5734
AR00473353362213961729,50 STATES ACTION FUND INC,11500,30,228000,893
AR00473718674952290305,"SALEM WEB NETWORK, LLC",534400,186,162351000,31773
AR00476373720655462401,"NetChoice, LLC",1100,1,35000,10
AR00477856961841332225,TEAM HAGERTY,318600,117,16597000,2095
AR00477864658422726657,PROGRESSNOW NEW MEXICO EDUCATION FUND,9000,1,900000,14
AR00486864161096073217,PROGRESSOHIO ORG,10900,28,924000,123
AR00491367760723443713,SENATE COMMITTEE TO ELECT SYLVIA ALLEN,4100,1,90000,25
AR00503555022483619841,Bonnie Watson Coleman for Congress,3000,6,6000,313
AR00504034134675423233,FRIENDS OF LEAH MCGRATH,600,9,9000,331
AR00504878559605555201,CHARLES FALL FOR NY,5700,4,158000,136
AR00513885758860296193,NEW DAY NEVADA INC,14700,6,723000,56
AR00514876418836922369,MICHELE V MEYER,100,2,7000,17
AR00517628771319152641,BO HINES FOR CONGRESS,22400,9,200000,740
AR00518389358487666689,COLORADANS FOR CONSTITUTIONAL VALUES,4800,6,78000,126
AR00522048533184905217,Krist for Nebraska,6000,3,183000,111
AR00522892958115037185,NYC VOTES INC.,1400,8,9000,61
AR00525647509620523009,COMMITTEE TO ELECT ERIN PARE,3800,2,203000,14
AR00527396557742407681,LYNCH FOR COLORADO,8100,32,1743000,523
AR00528668692695744513,TARKANIAN FOR NEVADA,5600,1,15000,40
AR00531139570201264129,MATTHEW J DOWD,7400,1,80000,224
AR00531900157369778177,APOLLO ARTISTRY LLC,600,2,16000,30
AR00533553822857953281,Vet Voice Foundation Inc.,6700,4,74000,15
AR00535643169828634625,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,124900,67,9998000,1502
AR00536403756997148673,FETTERMAN FOR PA,345200,106,10150000,4539
AR00549914555879260161,"TED FOR DEKALB, INC.",5800,23,271000,141
AR00554920907198431233,FLORIDA CONSERVATION VOTERS ACTION FUND,38800,4,1100000,12
AR00558077330203869185,HEALTHIER COLORADO,3000,3,29000,9
AR00558921755134001153,FRIENDS FOR LANDON,700,2,5000,14
AR00563425354761371649,PETE FOR GOVERNOR,50500,64,529000,640
AR00567928954388742145,"MARSY'S LAW FOR PENNSYLVANIA, LLC",94800,2,3590000,28
AR00575359453969252353,Sweeney for Montana,1800,24,24000,332
AR00576091728713351169,"LIV HOSPITALITY, LLC",5900,5,16000,147
AR00576936153643483137,COX FOR GOVERNOR 2018 INC,31800,20,1341000,797
AR00579187953457168385,ANGELICA DUENAS FOR US,5400,9,42000,887
AR00581439753270853633,COMPASSION & CHOICES,5500,2,185000,96
AR00585943352898224129,RYAN FOR ARIZONA,6800,339,734000,3278
AR00592663567967191041,Spot Fake News,10500,7,531000,448
AR00594106127222833153,NEXTGEN CLIMATE ACTION COMMITTEE,1922300,2304,181857000,46976
AR00594950552152965121,THE MARKEY COMMITTEE,252600,76,4602000,2138
AR00599454151780335617,THE REPUBLICAN PARTY OF WISCONSIN,29600,3,175000,48
AR00608461351035076609,MIKE SMITH FOR DELAWARE,500,25,29000,245
AR00612120525732315137,MISSOURI RISING ACTION,71500,8,2121000,31
AR00614593602261090305,PATTY FOR SENATE,32100,90,567000,1272
AR00615216750476132353,MARIA DANZILO,500,1,1000,50
AR00617468550289817601,WORKING AMERICA,5500,2,30000,5
AR00618938047580340225,STAND FOR FL,16700,10,680000,50
AR00621898482638127105,J.R. MAJEWSKI FOR CONGRESS,5300,1,80000,41
AR00626475749544558593,DANE EAGLE FOR CONGRESS,1700,5,61000,62
AR00630134924241797121,MSEA FUND FOR CHILDREN AND PUBLIC EDUCATION,5100,1,2000,34
AR00630979349171929089,CALIFORNIA REPUBLICAN PARTY,500,4,33000,19
AR00631970009148555265,BILLY LONG FOR CONGRESS,400,2,4000,84
AR00635482948799299585,COMMITTEE TO ELECT JOSEPH GRAVELLESE,900,2,10000,30
AR00639142123496538113,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,5400,18,150000,64
AR00640977208403296257,CITIZENS FOR ERIKA HAROLD,7600,16,124000,720
AR00644490148054040577,ADVANCING AMERICAN FREEDOM INC,9800,14,4244000,320
AR00648993747681411073,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,142800,81,9616000,1064
AR00653497347308781569,JAKE ELLZEY CAMPAIGN,5500,12,667000,53
AR00654025112890114049,CIVIC ENGAGEMENT FORUM,1800,14,121000,70
AR00658000946936152065,FRIENDS TO ELECT FRED OWENS,600,5,20000,24
AR00660755498441637889,CITIZENS FOR MONZEL,3600,25,862000,995
AR00662504546563522561,BEN SALANGO FOR WEST VIRGINIA,10200,11,374000,69
AR00666163721260761089,NARAL PRO-CHOICE AMERICA,220100,118,11208000,3544
AR00667008146190893057,TREY FOR CONGRESS INC,10100,7,842000,174
AR00671511745818263553,Julie Johnson for Texas,14100,379,4498000,5752
AR00676015345445634049,CLEAVER FOR CONGRESS,3900,6,12000,79
AR00677669010933809153,TRUDY BUSCH VALENTINE FOR SENATE,5200,1,15000,33
AR00679758357904490497,"BlueGreen Alliance, Inc.",4600,1,600000,12
AR00680518945073004545,CENTER FOR CIVIC PROGRESS INC,44800,6,2900000,100
AR00684178119770243073,COMMITTEE TO ELECT JIM BREWSTER,6900,6,2180000,592
AR00685022544700375041,MATT F. SHAHEEN,45200,3,2500000,49
AR00687274344514060289,WALBERG FOR CONGRESS,14600,31,136000,2027
AR00689526144327745537,CIATTARELLI FOR GOVERNOR,99900,13,2397000,72
AR00694029743955116033,FRIENDS OF SARAH MCBRIDE,13000,55,361000,345
AR00696784295460601857,CAL FOR NC,1097000,638,70061000,10494
AR00702192518279725057,"EVERYTOWN FOR GUN SAFETY ACTION FUND, INC. PAC (EVERYTOWN PAC)",1366500,78,20587000,1655
AR00710883058185666561,HENSON FOR IOWA,2500,1,15000,75
AR00712044142464598017,VIRGINIA EDUCATION ASSOCIATION,3700,5,230000,61
AR00714798693970083841,DONNA LAKE FOR NC SENATE DISTRICT 7,16400,3,220000,61
AR00716259670045491201,EARN INTERNATIONAL UNION OF OPERATING ENGINEERS,11800,5,1287000,57
AR00716547742091968513,"PARTNERSHIP FOR AMERICAN'S HEALTHCARE FUTURE ACTION, INC.",20600,12,1124000,132
AR00720206916789207041,SENATE CONSERVATIVES FUND,5100,237,769000,3197
AR00721051341719339009,COMMITTEE TO ELECT CLEAVE SIMPSON,6100,4,23000,26
AR00723303141533024257,SPRINGS OPPORTUNITY FUND,2100,2,16000,27
AR00730058540974080001,READY BY FIVE STL CITY,6800,2,375000,18
AR00732813092479565825,FELIPE R PEREZ FOR ARIZONA,5300,1,30000,23
AR00734562140601450497,CALIFORNIA BUSINESS PROPERTIES ASSOCIATION,1800,11,15000,70
AR00737371392810418177,"VC-SAFE (Save Agriculture and Freshwater for Everybody) Sponsored by environmental and social justice groups, Yes on Measures A & B",32700,1,2250000,21
AR00738221315298689025,JOE WILSON FOR CONGRESS,10900,7,585000,82
AR00741157561100664833,Elect Norma Hernandez,200,13,13000,38
AR00741317540042506241,LUKE W. PRIDDY,500,9,28000,20
AR00743569339856191489,KIM REYNOLDS FOR IOWA,73100,60,4220000,1019
AR00749701591082205185,SANDY SENN FOR STATE SENATE,9000,8,260000,1178
AR00753079290802733057,BACA FOR SENATE NM,5600,2,200000,50
AR00754067751756103681,MADISON FOR CONGRESS,2300,2,41000,32
AR00757080138738302977,ELECT BRET ROBERTS,800,20,28000,213
AR00761583738365673473,FRIENDS OF LESLIE,1200,1,2000,15
AR00763212389964316673,ARIZONANS FOR GREAT SCHOOLS AND A STRONG ECONOMY,22800,13,3221000,389
AR00764926253714112513,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",1595500,12,11030000,460
AR00770590937620414465,CONSERVATIVE LEADERSHIP OF THE OZARKS,7900,12,191000,95
AR00774250112317652993,CARE ACTION NOW INC,3000,24,647000,145
AR00775094537247784961,MELISSA BATEN CASWELL FOR SANTA CLARA COUNTY BOARD OF EDUCATION 2020,6000,5,106000,47
AR00779598136875155457,DR. BRIAN BABIN FOR CONGRESS,2000,3,5000,54
AR00783385404677029889,ELECT ELISABETH EPPS,10400,12,829000,109
AR00784101736502525953,GARY GATES FOR TEXAS,42500,50,6426000,1529
AR00785001411891953665,BRIAN E HARRISON,2000,6,11000,64
AR00788605336129896449,HERRING FOR ATTORNEY GENERAL,137900,11,5296000,273
AR00792264510827134977,CITIZEN ACTION/ILLINOIS,11600,3,70000,195
AR00793108935757266945,HOUSE REPUBLICAN CAMPAIGN COMMITTEE,48700,23,1425000,250
AR00795360735570952193,Kim Melnyk for Delegate,13000,1,400000,13
AR00797612535384637441,"PIEDMONT RISING, INC.",413100,36,25291000,605
AR00802116135012007937,GUNDERSEN FOR ASSEMBLY,5800,4,2279000,41
AR00802481447750336513,Marina for Milwaukee,1500,2,176000,24
AR00803607347657179137,Students Deserve Better,21100,19,1369000,321
AR00806619734639378433,REP. ROGER WILLIAMS - U.S. HOUSE OF REPRESENTATIVES,8000,5,27000,446
AR00810278909336616961,COFFMAN FOR CONGRESS 2018,18600,15,954000,640
AR00811123334266748929,CANADY FOR MISSOURI,11400,6,800000,74
AR00815626933894119425,STEVE ALLISON CAMPAIGN,17900,5,301000,255
AR00816054643917324289,CHARLES J SCHROEDER,5100,2,226000,62
AR00818406499289137153,FRIENDS OF TIM OBRIEN,200,1,2000,35
AR00818969449242558465,Shawn Still for State Senate,3500,2,260000,34
AR00820130533521489921,MAGICSTAR ARROW INC,493100,128,69754000,3989
AR00823873545980346369,CAROLYN FOR CONGRESS,255000,76,15670000,1285
AR00824634133148860417,"OUR WATER OUR RIGHTS, LLC",900,5,7000,42
AR00824780368195354625,JENNIFER ESTEEN RN FOR ASSEMBLY 2022,11200,4,715000,85
AR00826298243997499393,PORTIA ROBERSON FOR CONGRESS,1300,1,35000,5
AR00827608312101994497,OPPORTUNITY FOR ALL ACTION FUND,99400,5,4365000,69
AR00831389532589916161,RE-ELECT MAYOR KUCINICH COMMITTEE,6700,2,615000,48
AR00832613289031630849,Pilar Schiavo for Assembly 2022,24700,3,1720000,108
AR00833641332403601409,MATT MAYBERRY FOR CONGRESS,3800,4,12000,184
AR00838144932030971905,EQUALITY CALIFORNIA,8200,10,2431000,233
AR00841964085670051841,Joe P. Herrera,400,2,4000,4
AR00846307706355580929,NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,291200,117,33840000,8963
AR00847152131285712897,LEADERS IGNITING TRANSFORMATION ACTION FUND INC,6200,1,300000,11
AR00849167536099426305,Stern for Supervisor 2022,23400,4,2110000,95
AR00853284382511726593,COMMITTEE TO ELECT BOB KARP,1100,1,9000,41
AR00856159330540453889,VOTE NO ON THE PRITZKER-MADIGAN JOBS TAX ON THE MIDDLE CLASS,5200,16,47000,16
AR00856524643278782465,TED BUDD FOR SENATE,70800,45,4076000,650
AR00858258847993692161,AMERICAN PROSPERITY ALLIANCE,26300,8,995000,16
AR00860662930167824385,INDABA APPLICATION NETWORK,0,1,1000,4
AR00864322104865062913,KRISTIN LYERLY FOR STATE ASSEMBLY,31200,70,498000,573
AR00865166529795194881,ASSOCIATED BUILDERS AND CONTRACTORS POLITICAL ACTION COMMITTEE  (ABC PAC),4300,2,1100000,10
AR00866056034702065665,RUSK FOR LEGISLATURE,100,1,1000,22
AR00867418329608880129,FRIENDS OF MIK PAPPAS,100,1,1000,15
AR00867921081300680705,"UNITED FOR CLEAN POWER, INC.",2400,2,125000,25
AR00869670129422565377,ENERGY 45 FUND,5800,21,276000,1575
AR00874173729049935873,FRIENDS OF NICOLE BREADON,6900,5,400000,48
AR00882336503374544897,THE COMMITTEE TO ELECT JAY GONZALEZ,28800,95,299000,2360
AR00883180928304676865,FRIENDS OF NATALIE MIHALEK,3400,8,260000,258
AR00887184250141409281,Sherman For Congress,14600,3,815000,75
AR00887684527932047361,STEVE DAINES FOR MONTANA,1985500,2269,97622000,108781
AR00894160651419648001,Campos for Oregon,400,1,1000,7
AR00897194478878588929,KRISTI FOR GOVERNOR,5400,24,35000,1108
AR00899003450384187393,Adam Vandermyde,100,13,13000,73
AR00903447126627844097,"Sullivan for Illinois, NFP",115400,100,6101000,2032
AR00905698926441529345,JEFF ESMUS FOR CONGRESS,5600,19,82000,113
AR00910202526068899841,JULIAN FOR THE FUTURE,213500,44,7322000,1668
AR00917166832719233025,Tim Robertson For Senate 2022,9700,110,3347000,1629
AR00918365300393508865,"KEVIN ABEL FOR CONGRESS, INC.",500,9,296000,9
AR00923713324951011329,REP. BRAD SHERMAN - U.S. HOUSE OF REPRESENTATIVES,15000,7,1479000,155
AR00928216924578381825,REP. KEVIN HERN - U.S. HOUSE OF REPRESENTATIVES,9400,10,212000,761
AR00931959937037238273,CENTER FOR AMERICAN PROGRESS ACTION FUND,149600,119,9899000,2657
AR00932720524205752321,MITCHELL SWAN FOR CONGRESS,4700,1,60000,275
AR00933811239740506113,MAYFIELD CAMPAIGN,200,1,2000,15
AR00937224123833122817,ALEX MORSE FOR CONGRESS,45300,21,1434000,214
AR00939475923646808065,CERENG CONSULTING LLC,5100,8,383000,96
AR00941727723460493313,ROLANDO GUTIERREZ,7200,11,325000,208
AR00946231323087863809,RAUL CAMPILLO FOR CITY COUNCIL DISTRICT 7,1800,3,12000,12
AR00949755257854885889,ELECT RENITTA SHANNON,40900,5,1764000,135
